Name,Unit,Expression,Value,Comments,Favorite
Bezel_Fit,mm,0.1 mm,0.10,The distance in addition to actual size (X and Y),false
Wall_Thickness,mm,2 mm,2.00,The enclosure walls,false
Screen_Overlap,mm,3 mm,3.00,"Bezel perimeter covering display, each side",false
Front_Panel_Bezel_Thickness,mm,1.95 mm,1.95,The front panel bezel thickness (Z),false
Display_Thickness,mm,5 mm,5.00,"Display only, excluding space above, excluding PCB thickness",false
Display_Post_Diameter,mm,6 mm,6.00,Hole Diameter,false
Bezel_Top,mm,28 mm,28.00,"Height beyond top of display, room for mounting screw (Y)",false
Bezel_Bottom,mm,20 mm,20.00,Warning: edit here spoils buttons,false
Display_PCB_Thickness,mm,1.5 mm,1.50,"Exact PCB thickness, not including space to display",false
Ribbon_Cable_Opening,mm,53 mm,53.00,Actual cable ~ 51 mm wide,false
Ribbon_Cable_Position,mm,8 mm,8.00,Distance from enclosure edge,false
Display_Post_Height,mm,4 mm,4.00,"Spacers mounted on HDMI PCB, not including PCB thickness",false
Display_Clip_Thickness,mm,1.2 mm + ( 3 * Printer_Nozzle_Diameter ),2.40,Overhang length: Distance from enclosure wall to edge of clip holding display in place,false
Clip_Width,mm,6 mm,6.00,"Display Clip Width, before fillets",false
Display_Total_Thickness,mm,Display_Post_Height + Display_Thickness + Display_Airgap + Display_PCB_Thickness,12.00,Total Display Fit: 12 mm,false
Display_Airgap,mm,1.5 mm,1.50,Distance between metal permiter and display controller PCB,false
USB_Exit_Cable_Diameter,mm,4.5 mm,4.50,Does not include restraint,false
Enclosure_ULX3S_Side,mm,HDMI_Adapter_Board + 0.5 mm - 4 mm,12.00,16 mm == HDMI adapter,false
Button_Post_Diameter,mm,6 mm,6.00,"Button Post, needing slightly larger hole",false
Button_Hole,mm,Button_Post_Diameter + Button_Shaft_Fit,6.40,Button Post plus  a small margin to avoid friction,false
Button_Column_Diameter,mm,Button_Hole + ( ( 2 * 1.1 ) * 1 mm ),8.60,Total Diameter of Button Post Solid,false
Button_From_PCB,mm,14.5 mm,14.50,Distance from button top to display PCB surface,false
Button_Post_Height,mm,Bezel_Bottom - Button_From_PCB,5.50,Distance from reference plan to button top minus 2 mm post end. TODO rear display spacing,false
Light_Pipe_Diameter,mm,( 2.54 mm - Printer_Nozzle_Diameter ),2.14,"Actual spec: 2 mm; Nozzle: 0.4, the desired min space between holes",false
LIght_Pipe_Hole,mm,1.9 mm,1.90,Display Face Stop; Assumes 2mm PMMA ,false
Alignment_Post_Hole,mm,2 mm,2.00,"Face-to-face alignment posts, see also hole",false
Alignment_post,mm,Alignment_Post_Hole - 0.2 mm,1.80,"Face-to-face alignment post hole, see also post",false
HDMI_Adapter_Board,mm,15.5 mm,15.50,Vertical Measured Distance,false
ULXS3_PCB_Top_Ref,mm,9.5 mm,9.50,Measured distance from rear face of HDMI display PC Board to top of ULX3S board,false
ULX3S_Button_Top_ref,mm,ULXS3_PCB_Top_Ref + 5 mm,14.50,Reference distance from rear face of HDMI display PC Board to top of buttons,false
ULX3S_Button_Head,mm,2 mm,2.00,buttonpost impact head thickness,false
Light_Pipe_Box_Length,mm,5.5 mm,5.50,Calculated distance from inside face to top of LED on PB board for Light Pipe box,false
USB_Strain_Relief_Post_Width,mm,12 mm,12.00,Vertical posts for internal USB cable routing,false
USB_Strain_Relief_Brace_Position,mm,( USB_Strain_Relief_Post_Width / 2 ) - ( Wall_Thickness / 2 ),5.00,distance from edge of strain relief to center of perpendicular brace,false
M3_Insert_Hole,mm,4.1 mm,4.10,"Smooth diameter measured =4.26, knurl = 4.96",false
Mounting_Post_Height,mm,Front_Panel_Bezel_Thickness + Display_Total_Thickness + Enclosure_ULX3S_Side,25.95,,false
M3_Screw_Hole,mm,3.1 mm,3.10,Includes tolderance: measured 2.95,false
Rear_Face_Thickness,mm,Front_Panel_Bezel_Thickness,1.95,13 * 0.15 (print height),false
Assembly_Post_Position,mm,Wall_Thickness + ( Assembly_Mounting_Post_Diameter / 2 ) + Final_Enclosure_Fillet + 0.4 mm,8.50,"Distance for both X and Y from outer perimeter face. Ensure post does not collidate with inner fillets, plus an additional fit.",false
Assembly_Mounting_Post_Diameter,mm,2 * M3_Insert_Hole,8.20,Post the conencts front and back via m3 screws,false
Strain_Relief_Height,mm,ULXS3_PCB_Top_Ref + 2.5 mm,12.00,,false
Display_Offset_Post_Height,mm,Mounting_Post_Height - ( Front_Panel_Bezel_Thickness + Display_Total_Thickness ),12.00,Distance from back to top of metal display posts,false
ULX3S_Offset_Post_Height,mm,Mounting_Post_Height - ( Front_Panel_Bezel_Thickness + Display_Total_Thickness + ULXS3_PCB_Top_Ref + ULX3S_Mounting_Post_Height ),-1.50,Distance from back to top of ULX3S mounting posts,false
ULX3S_Mounting_Post_Height,mm,4 mm,4.00,Screw alternatives: typically the 4 mm metal hex spacers that ship with the display,false
USB_Strain_Relief_Post_Thickness,mm,4 mm,4.00,Two part posts to route internal USB to ULX3S,false
Audio_Cable_Diameter,mm,3.05 mm,3.05,"External connection from ULX3S, possibly re-routed to display input",false
Speaker_Slot_Width,mm,1.4 mm,1.40,,false
